paddock,Section,CPTu,id,Datalogger,Channel,Serial_Number,depth,lat,lon,status
CDIII,Section-2,CPT18-30,VW-CD3-06,10230,1,1833531,20,-22.45815573,15.02184437,1
CDIII,Section-2,CPT18-07,VW-CD3-05,3060,1,1833529,27,-22.45749178,15.02273049,1
CDIII,Section-2,CPT18-04,VW-CD3-03,16629,1,1833525,30.8,-22.45723377,15.02333305,1
CDIII,Section-2,CPT18-03,VW-CD3-01,10317,1,1833516,51,-22.45657839,15.02429419,1
CDIII,Section-2,CPT18-04,VW-CD3-02,10317,2,1833512,69,-22.45473942,15.02431525,1
CDIII,Section-2,CPT15-03,VW-6,1821,2,54018,21.3,-22.45623377,15.02333305,3
CDIII,Section-2,CPT15-04,VW-7,1821,1,54017,25,-22.45623377,15.02333305,3
CDIII,Section-2,CPT15-04,VW-8,1821,4,53966,26,-22.45623377,15.02333305,3
CDIII,Section-2,CPT15-05,VW-9,1821,3,54011,28.5,-22.45623377,15.02333305,3
CDIII,Section-1,CPT18-02,VW-3,1815,3,53946,23,-22.45881759,15.0244824,1
CDIII,Section-1,CPT18-03,VW-4,1815,2,53967,25.5,-22.45881759,15.0244824,1
CDIII,Section-1,CPT18-04,VW-5,1815,1,54005,28.2,-22.45881759,15.0244824,1
SILT-TRAP,Section-3,CPT18-05,VW-ST-01,16329,1,1833513,42,-22.45499989,15.02227094,1
SILT-TRAP,Section-3,CPT18-06,VW-ST-02,16567,1,1833536,18.3,-22.45569266,15.02136336,1
SILT-TRAP,Section-3,CPT18-31,VW-ST-08,3031,1,1833530,9.3,-22.45612119,15.02027982,1
SILT-TRAP,Section-3,CPT18-36,VW-ST-06,16761,1,1833532,14.3,-22.45606011,15.02105697,1
SILT-TRAP,Section-3,CPT15-06,VW-12,1853,5,53958,8,-22.45518222,15.02126627,1
SILT-TRAP,Section-3,CPT15-07,VW-13,1853,4,54004,16,-22.45518222,15.02126627,1
SILT-TRAP,Section-3,CPT15-08,VW-14,1853,3,53960,17.2,-22.45518222,15.02126627,1
SILT-TRAP,Section-3,CPT15-09,VW-15,1853,2,53963,19.8,-22.45518222,15.02126627,1
SILT-TRAP,Section-3,CPT15-10,VW-16,1853,1,53948,20,-22.45518222,15.02126627,1
SILT-TRAP,Section-3,CPT-5,VW-10,2115,1,64916,23.5,-22.45476773,15.02193724,1
SILT-TRAP,Section-3,CPT-6,VW-11,2115,2,64917,26,-22.45662416,15.02287294,1
SILT-TRAP,Section-4,CPT-8,VW-1,2087,1,53959,17,-22.45374327,15.02020495,3
SILT-TRAP,Section-4,CPT-9,VW-19,2087,2,54003,14.5,-22.45374327,15.02020495,3
SILT-TRAP,Section-4,CPT-7,VW-18,2087,3,53951,26,-22.45333113,15.02087621,3
SILT-TRAP,Section-4,CPT-8,VW-17,2087,4,54012,7,-22.45333113,15.02087621,3
SILT-TRAP,Section-5-6,CPT18-08,VW-ST-03,16564,1,1833528,11,-22.4512967,15.01980638,1
SILT-TRAP,Section-5-6,CPT18-06,VW-ST-04,16752,1,1833514,42,-22.45118572,15.02085524,1
SILT-TRAP,Section-5-6,CPT15-10, CPT9-10,VW-21,1849,2,1833510,21,-22.4519468,15.02058727,1
SILT-TRAP,Section-5-6,CPT15-10, CPT9-10,VW-22,1849,1,60433,25,-22.4519468,15.02058727,1
SILT-TRAP,Section-5-6,CPT15-10, CPT9-10,VW-23,1849,4,53980,4,-22.4517745,15.01986735,1
SILT-TRAP,Section-5-6,CPT15-10, CPT9-10,VW-24,1849,3,53981,9,-22.4517745,15.01986735,1
SILT-TRAP,Section-6-7,CPT11-12,VW-25,1817,1,60434,27,-22.44892575,15.02139365,1
SILT-TRAP,Section-6-7,CPT11-12,VW-27,1817,3,53954,4,-22.44877259,15.0207435,1
SILT-TRAP,Section-6-7,CPT11-12,VW-28,1817,4,53949,17,-22.44877259,15.0207435,1
SILT-TRAP,Section-6-7,CPT18-11,VW-ST-05,9852,1,1833515,41,-22.44791398,15.02188708,1
SILT-TRAP,Section-6-7,CPT18-12,VW-ST-07,20618,1,1833526,21,-22.44782166,15.01945542,1
RDS,Section-7-8,CPT18-30,VW-RDS-01,9548,1,1833521,35,-22.44642804,15.02506165,1
RDS,Section-7-8,CPT18-07,VW-RDS-02,9548,2,1833519,45,-22.44642804,15.02506165,1
RDS,Section-7-8,CPT15-16,VW-34,1819,2,53962,18,-22.44642804,15.02506165,2
RDS,Section-7-8,CPT15-16,VW-35,1819,1,53983,22,-22.44642804,15.02506165,1
RDS,Section-7-8,CPT15-16,VW-36,1819,4,53975,10,-22.44564226,15.02479708,1
RDS,Section-7-8,CPT15-16,VW-37,1819,3,53974,18,-22.44564226,15.02479708,2
RDS,Section-7-8,CPT13-14,VW-29,1876,5,53973,17.8,-22.44702573,15.0228769,3
RDS,Section-7-8,CPT13-14,VW-30,1876,4,53968,20,-22.44702573,15.0228769,3
RDS,Section-7-8,CPT13-14,VW-31,1876,3,53950,14,-22.44626956,15.02261877,3
RDS,Section-7-8,CPT13-14,VW-32,1876,2,53953,18,-22.44626956,15.02261877,3
RDS,Section-7-8,CPT13-14,VW-33,1876,1,53965,20,-22.44626956,15.02261877,3
CROWN,Section-10,CPT-20,VW-44,1816,1,53969,26,-22.44935043,15.03285318,1
CROWN,Section-10,CPT-20,VW-43,1816,3,64918,22,-22.44935043,15.03285318,1
CROWN,Section-10,CPT-18-13,VW-CN-02,16596,1,1833522,42.3,-22.45022127,15.03356932,1
CROWN,Section-10,CPT-18-14,VW-CN-03,16444,1,1833523,41,-22.44958396,15.03420576,2
CROWN,Section-12,CPT-22,VW-47,2423,3,53956,20,-22.45600922,15.03441816,3
CROWN,Section-12,CPT-22,VW-48,2423,2,53952,23.2,-22.45600922,15.03441816,3
CROWN,Section-12,CPT-22,VW-49,2423,1,53961,24.4,-22.45600922,15.03441816,3
CROWN,Section-11,CPT-21,VW-46,2121,1,53972,24,-22.45122934,15.03522906,2
CROWN,Section-11,CPT-21,VW-45,2121,2,54007,21,-22.45122934,15.03522906,2
CROWN,Section-13,CPT-23,VW-51,20892,1,64914,30,-22.45532058,15.02975451,1
CROWN,Section-13,CPT-23,VW-50,20989,1,64915,16,-22.45532058,15.02975451,1
CROWN,,CPT-N/A,VW-CN-01,3006,1,1833539,14.3,-22.45040273,15.02957546,1
Y1/Y2,Section-17,CPT-18-35,VW-YB-01,3023,1,1833527,14,-22.44754439,15.03396627,1
Y1/Y2,Section-17,CPT18-22,VW-Y2-02,9926,1,1833524,35.3,-22.44589797,15.03784652,3
